CODIGO_PROYECTO,PROGRAMA,INSTRUMENTO,ANO_FALLO,AREA_OCDE,SEXO
1820104,FONDECYT,REGULAR,1982,CIENCIAS NATURALES,HOMBRE
1830052,FONDECYT,REGULAR,1983,INGENIERIA Y TECNOLOGIA,HOMBRE
1831106,FONDECYT,REGULAR,1983,CIENCIAS SOCIALES,HOMBRE
1841241,FONDECYT,REGULAR,1984,CIENCIAS NATURALES,MUJER
1870106,FONDECYT,REGULAR,1987,CIENCIAS NATURALES,HOMBRE
1881300,FONDECYT,REGULAR,1988,CIENCIAS NATURALES,HOMBRE
1881301,FONDECYT,REGULAR,1988,CIENCIAS SOCIALES,HOMBRE
1891204,FONDECYT,REGULAR,1989,CIENCIAS AGRICOLAS,HOMBRE
1891210,FONDECYT,REGULAR,1989,INGENIERIA Y TECNOLOGIA,HOMBRE
1891208,FONDECYT,REGULAR,1989,INGENIERIA Y TECNOLOGIA,HOMBRE
1891211,FONDECYT,REGULAR,1989,INGENIERIA Y TECNOLOGIA,HOMBRE
1891206,FONDECYT,REGULAR,1989,CIENCIAS NATURALES,HOMBRE
1900518,FONDECYT,REGULAR,1990,CIENCIAS MEDICAS Y DE LA SALUD,HOMBRE
1900005,FONDECYT,REGULAR,1990,HUMANIDADES,HOMBRE
D91F1052,FONDEF,INVESTIGACION Y DESARROLLO EN INFRAESTRUCTURA,1991,CIENCIAS NATURALES,HOMBRE
1910259,FONDECYT,REGULAR,1991,CIENCIAS NATURALES,HOMBRE
1920313,FONDECYT,REGULAR,1992,CIENCIAS NATURALES,HOMBRE
D96I1112,FONDEF,INVESTIGACION Y DESARROLLO,1993,INGENIERIA Y TECNOLOGIA,HOMBRE
1941113,FONDECYT,REGULAR,1994,CIENCIAS NATURALES,HOMBRE
1941117,FONDECYT,REGULAR,1994,CIENCIAS NATURALES,HOMBRE
1950722,FONDECYT,REGULAR,1995,CIENCIAS NATURALES,HOMBRE
1951226,FONDECYT,REGULAR,1995,CIENCIAS SOCIALES,HOMBRE
D96T1032,FONDEF,INVESTIGACION Y DESARROLLO EN TRANSFERENCIAS TECNOLOGICAS PRIMERA ETAPA,1996,INGENIERIA Y TECNOLOGIA,HOMBRE
1961286,FONDECYT,REGULAR,1996,INGENIERIA Y TECNOLOGIA,HOMBRE
D97F1072,FONDEF,INVESTIGACION Y DESARROLLO EN INFRAESTRUCTURA,1997,CIENCIAS NATURALES,HOMBRE
1970987,FONDECYT,REGULAR,1997,HUMANIDADES,HOMBRE
7980057,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,1998,CIENCIAS NATURALES,HOMBRE
1980293,FONDECYT,REGULAR,1998,CIENCIAS NATURALES,HOMBRE
1980689,FONDECYT,REGULAR,1998,INGENIERIA Y TECNOLOGIA,HOMBRE
7980077,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,1998,INGENIERIA Y TECNOLOGIA,HOMBRE
1980688,FONDECYT,REGULAR,1998,INGENIERIA Y TECNOLOGIA,HOMBRE
EXP98/082,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,1998,SIN INFORMACION,SIN INFORMACION
EXP98/083,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,1998,SIN INFORMACION,SIN INFORMACION
D99I1082,FONDEF,INVESTIGACION Y DESARROLLO,1999,CIENCIAS AGRICOLAS,HOMBRE
1991020,FONDECYT,REGULAR,1999,CIENCIAS NATURALES,HOMBRE
ED4/99/060,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,1999,SIN INFORMACION,SIN INFORMACION
1000979,FONDECYT,REGULAR,2000,INGENIERIA Y TECNOLOGIA,HOMBRE
D00T1023,FONDEF,INVESTIGACION Y DESARROLLO EN TRANSFERENCIAS TECNOLOGICAS PRIMERA ETAPA,2000,INGENIERIA Y TECNOLOGIA,HOMBRE
D00T2023,FONDEF,INVESTIGACION Y DESARROLLO EN TRANSFERENCIAS TECNOLOGICAS SEGUNDA ETAPA,2000,INGENIERIA Y TECNOLOGIA,HOMBRE
D00I1181,FONDEF,INVESTIGACION Y DESARROLLO,2000,CIENCIAS AGRICOLAS,HOMBRE
7000161,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,2000,CIENCIAS SOCIALES,HOMBRE
1000161,FONDECYT,REGULAR,2000,CIENCIAS SOCIALES,HOMBRE
